Mixture	B.cell	Dendritic.cell	Macrophage	T.cell	Basophil	Monocyte	Neutrophil	NK.cell	P-value	Correlation	RMSE
Sim271	0	0.209969158712171	0	0.123380976647464	0.327424955892059	0.0761094285967767	0	0.26311548015153	0	0.169257646230316	1.11362674733238
Sim272	0	0.129345491257724	0.0589464981186719	0	0	0.216592833515837	0.426356664339185	0.168758512768583	0	0.12572059263476	1.15965593002558
Sim273	0.155758716829497	0.153935540270948	0	0.119036456332308	0.217763591567189	0.0533332981086259	0	0.300172396891432	0	0.294221576291328	1.03267031156735
Sim274	0.204167469397658	0	0.0637520374779706	0.287975685317658	0.0898789203367925	0.134230829753875	0	0.219995057716046	0	0.138319351283002	1.1428995486372
Sim275	0	0	0.546799433507798	0	0.0268117607424624	0.34836330324194	0.0160321096360714	0.0619933928717286	0	0.176700325064505	1.11777115107762
Sim276	0	0.315792627371608	0	0.269923353897437	0.176004048144285	0	0.161538754306018	0.076741216280652	0	0.109588909506938	1.16768268787493
Sim277	0	0	0.0484923643869169	0.181808481714906	0.0839407996074803	0.431543239115296	0.00156973188527191	0.252645383290128	0	0.273886632632844	1.03822612491753
Sim278	0	0	0.0964545728847477	0.357759300132133	0.276703636338162	0.119725480239067	0	0.14935701040589	0	0.115775733986815	1.14830781557782
Sim279	0.0431015699260342	0.0523697352753366	0.192348115919638	0.342055525706163	0.286111444347797	0.0840136088250312	0	0	0	0.235705332372226	1.06654302658546
Sim280	0.167804652880488	0	0	0.132625367829273	0.493665016296194	0.205904962994045	0	0	0	0.279485050363727	1.04855497438818
Sim281	0.289549656297316	0	0	0.225682181084683	0.293861517872179	0.100023712519689	0.090882932226132	0	0	0.263554835394036	1.03512196779521
Sim282	0.192962443490379	0	0	0.219151671400037	0	0.00550645518351582	0.463849173347218	0.11853025657885	0	0.0542813570330793	1.2027559768252
Sim283	0.298235196166511	0.213224491679694	0.245539123527106	0	0.135906345245195	0	0.0544425617143386	0.0526522816671556	0	0.128250030561859	1.12391806463243
Sim284	0.0668392401601474	0	0.202450920930363	0.40072140746269	0.201641620353771	0.103390759263955	0	0.024956051829073	0	0.113684617093081	1.15300547244618
Sim285	0.221086484138847	0	0.0507832371811603	0.317462217841188	0.067930014784355	0.22296881726708	0	0.11976922878737	0	0.173741125759228	1.10587601189327
Sim286	0.0265115202883439	0.061370545825538	0.0359791290167414	0	0.377838216262166	0.127322280520775	0	0.370978308086436	0	0.17326664014598	1.11762437647982
Sim287	0	0.272601644740328	0	0	0.274818267430966	0.280887517288488	0	0.171692570540218	0	0.168056255758094	1.10975445980172
Sim288	0.394166181923543	0.066940523794623	0.112886165088896	0	0	0.169260810673061	0.256746318519878	0	0	0.228889577754848	1.04958714089231
Sim289	0.113790829743049	0	0.0170807704881833	0.210072560443769	0.208977322454066	0.312707396550622	0	0.137371120320311	0	0.136699744043503	1.10745700140261
Sim290	0.283664209928847	0.100101170071637	0	0	0	0.138150756418309	0.478083863581207	0	0	0.189509024282113	1.09811745965426
Sim291	0	0	0.165649102917647	0.207048868316915	0.31691387232358	0.145485933883041	0	0.164902222558817	0	0.141796763402272	1.11735346200756
Sim292	0.498867840869519	0.110405998202767	0	0.204287166996892	0	0.0830489749397497	0.103390018991073	0	0	0.182527615572608	1.11114360337245
Sim293	0	0.288793413085426	0	0.196247051370824	0.51495953554375	0	0	0	0	0.161543994754454	1.13201485283713
Sim294	0.114396264623401	0	0	0.271218888591491	0.253897644580051	0.151430877506289	0	0.209056324698768	0	0.0555680838868916	1.17234588848152
Sim295	0	0.532869461731745	0.00251049887966393	0.111154983689553	0.0960490561928198	0.226113057071847	0.0313029424343709	0	0	0.059347309931833	1.20562054969526
Sim296	0.218993856260156	0	0.201057981957925	0.106225364710621	0.0618609148741336	0.361933071321024	0.0499288108761407	0	0	0.00182449324496208	1.17325705462729
Sim297	0.191855205946293	0	0.277228915415677	0.147727154356673	0.229233786707373	0.153954937573984	0	0	0	0.199687696563113	1.06910634009899
Sim298	0.245465648145907	0.0581043586246658	0	0.152721783492872	0.314956341877334	0.168102215297126	0.0606496525620953	0	0	0.0494391252221664	1.15686337952075
Sim299	0	0.0529733539736712	0.119516135804478	0.0733944777460008	0.169580619522745	0.371762792828526	0	0.212772620124579	0	0.0700525557807204	1.15408471373041
Sim300	0.0237686029839006	0	0.0272475512168664	0.44807598618462	0.178040479877171	0.182672530679933	0	0.140194849057509	0	0.303326200897867	1.03909048310718
Sim301	0.166606884629457	0.145193398894576	0	0.237918883686454	0.055737449451944	0.394543383337569	0	0	0	0.032497243303169	1.17028410774812
Sim302	0	0.202845521269696	0	0.289457213007748	0.451843544464908	0.0404061562965417	0	0.0154475649611066	0	0.052477090429667	1.18820143006869
Sim303	0.159711911297132	0	0.0653860142283133	0.328019030014014	0.169266885289622	0.25268444894222	0.0249317102286994	0	0	0.149706611342032	1.1023432771249
Sim304	0.145240584225746	0	0.0135212820933051	0	0.487357388951236	0.0598137809714012	0.0241932626477996	0.269873701110512	0	0.284688360368118	1.04666893362028
Sim305	0	0	0.164820939934678	0	0.298437983983704	0.259460478043089	0.120185762376435	0.157094835662095	0	0.183424286367323	1.11106838685958
Sim306	0.507215378819801	0	0	0	0.332778158987134	0	0.160006462193065	0	0	0.224053239562602	1.07086531534367
Sim307	0.325844817185526	0.0295861263595023	0	0.408482748119153	0	0.0706318376736494	0.165454470662169	0	0	0.0670106604788973	1.20011957259799
Sim308	0	0.175511091782609	0	0.107810855548305	0.146177651951017	0.303823610648041	0.118551647581733	0.148125142488294	0	0.0559431920968775	1.1673359070773
Sim309	0.0363326238075891	0	0.217505024680965	0.0434067783375462	0.522808156931181	0.179947416242718	0	0	0	0.265484425542089	1.07290991039036
Sim310	0.0231278546083478	0.202337632727818	0.0755150106550537	0	0.350952670159989	0.0270846631576739	0	0.320982168691118	0	0.119393648880105	1.14434860968808
