Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	Basophil	NK.cell	T.cell	P-value	Correlation	RMSE
Sim312	0	0.205398985664258	0	0.281926521801841	0.284274215648007	0.0510672682958836	0.0733838128121455	0.103949195777865	0	-0.0241192824517159	1.20942917154278
Sim313	0	0.0902657015586649	0	0.367637706887343	0.302027556720579	0	0.15661348045623	0.0834555543771828	0	-0.00437116959739473	1.18862233082618
Sim314	0	0.133369017475185	0.112362621527172	0.0689066268905085	0.168894902377189	0.185822598840376	0	0.33064423288957	0	0.193003817895371	1.06825097849131
Sim315	0	0.101960223679459	0.0182296782484414	0.085674509509842	0	0.396316303231702	0.324985878132616	0.0728334071979395	0	-0.0257282170857194	1.21442907240092
Sim316	0.16313765434315	0.179186610438416	0.0704864058376529	0	0.0594003350435433	0.270686656562421	0.257102337774817	0	0	0.126794324693546	1.12387311881023
Sim317	0.0416228337700878	0	0	0.257975186991463	0.460666011857974	0.0589087663071519	0.180827201073323	0	0	0.166877954255969	1.13644165008747
Sim318	0	0	0.079825727746126	0	0.223319417847451	0	0.237598013930211	0.459256840476211	0	0.145916721444893	1.14284365131307
Sim319	0.0648725927761038	0.170184791317923	0.0704504698936596	0	0	0.556438029370571	0	0.138054116641742	0	0.312503416139988	1.04377961163987
Sim320	0.0911839310860215	0	0	0.299548032817354	0.169566929961055	0.192097320713652	0.102854529373827	0.144749256048089	0	0.193136802473864	1.07659633129728
Sim321	0.290629286173755	0.00918918625418741	0	0.285538642089901	0	0.0845326774544747	0.330110208027681	0	0	0.265515793841185	1.03317590371818
Sim322	0.206332851585634	0.288271837513346	0	0.0850550189717752	0	0.263712318450872	0.156627973478373	0	0	0.148478282189031	1.11824513323904
Sim323	0	0.211365992766834	0	0.419507555031767	0.205580645980835	0	0.0141973021966687	0.149348504023896	0	0.194506463758701	1.09030069080499
Sim324	0	0.0387324944578443	0	0.426357093104477	0.175784005913402	0	0.359126406524278	0	0	0.0340887332417269	1.16472873981263
Sim325	0.489428900314764	0	0.356333220975638	0	0	0	0.0640810176960374	0.0901568610135604	0	0.116006629594934	1.1502469678524
Sim326	0.135823414441789	0.217293513939473	0.0796023178182143	0	0.227744761561494	0	0.308852306782386	0.0306836854566435	0	0.147272202741539	1.10194288258711
Sim327	0.106736400135409	0.295882468054906	0.597381131809685	0	0	0	0	0	0	0.212472544644287	1.13678342464026
Sim328	0.213310032255619	0.109695603035531	0	0	0	0.3304488030784	0.234222269588106	0.112323292042344	0	0.00219667745900426	1.19254711430474
Sim329	0.152686401229392	0.00203393834272418	0	0.021821619449008	0.488796919856663	0	0.334661121122212	0	0	0.310426621975472	1.04332688047033
Sim330	0.00974105094054424	0.00832938442681714	0.199202825518815	0.0534493575747012	0.0808514389416593	0.133794238548538	0.128402833766797	0.386228870282128	0	0.094431845793637	1.12908487745053
Sim331	0.137357028307914	0.107316345021321	0	0	0.0427669410590143	0.333619328756852	0.378940356854898	0	0	0.136867105824444	1.12985462908681
Sim332	0.180643852446702	0.0852772636145466	0.139876397087104	0	0	0.459496445070164	0.134706041781484	0	0	0.241758375262315	1.08551583883522
Sim333	0.0252677329833288	0.071836127090146	0.107052547814465	0	0	0.458831346736833	0.337012245375227	0	0	0.0570264278583688	1.18964786464234
Sim334	0	0.0723214274190856	0.503447448387376	0	0	0.0736282265676401	0.0401917004244678	0.31041119720143	0	0.112697432047607	1.1271670283738
Sim335	0	0	0.231079211830314	0.0905714907108482	0.176366144603223	0	0.392018183618718	0.109964969236897	0	0.218943974798894	1.0774261148424
Sim336	0.152819439407449	0.275558132031554	0.0739116799912651	0.0384200676094419	0	0.154088986591126	0.305201694369164	0	0	-0.0415201553169001	1.21036528041843
Sim337	0.30965677322813	0.0491831269119304	0.275037206036404	0	0	0.323831360052192	0	0.0422915337713443	0	0.230471682514009	1.10330455261779
Sim338	0	0	0	0	0.069390543760927	0.68609287279542	0	0.244516583443653	0	0.344776682858946	1.04777080905945
Sim339	0	0.210616514304891	0	0.199218705548394	0.191297275093333	0	0.076078726890493	0.322788778162889	0	0.258176517942306	1.01641214083762
Sim340	0.216192388184652	0.147220930167217	0	0.175206768465863	0.0380069544659286	0	0.394188923933173	0.0291840347831669	0	0.0867197702053661	1.14215035914021
Sim341	0.0866384261595746	0	0.185739811493157	0.0936538276421613	0.0283564712387555	0.370768361121999	0	0.234843102344353	0	0.286737789740302	1.03333514025309
Sim342	0.0126940307440236	0.114784343355202	0	0	0.160072978460746	0.157357708635572	0.208488250280033	0.346602688524424	0	0.0815005516825685	1.14700881358258
Sim343	0.318044142330131	0	0.150310189494331	0.0979983517193374	0.158292113210392	0	0.0972995840848872	0.178055619160922	0	0.278472473980968	1.01915066712473
Sim344	0.40444429686218	0	0.0364294389937165	0.254390255342309	0.252579774896678	0	0.0357674246778659	0.0163888092272506	0	-0.0538684160854091	1.26116822384299
Sim345	0.114359451575282	0.35137011408424	0	0	0	0.386591942505038	0	0.14767849183544	0	0.3272808557696	1.01726877327368
Sim346	0.240648192119551	0.117211533449879	0.128485475774094	0.0691792014416888	0.173111835846283	0	0	0.271363761368504	0	0.000172326701915232	1.16668673688999
Sim347	0	0	0.0323599353376259	0.378924183074768	0	0.181494726114882	0.114132951978196	0.293088203494529	0	0.185414999414036	1.06694233025599
Sim348	0.412286008111629	0.249249026819563	0.0313273579112152	0	0.0721813626870358	0.124617755278541	0.110338489192016	0	0	0.117722961101816	1.14595925262876
Sim349	0	0.311075270348636	0	0.303235751811743	0	0.263471332553074	0.122217645286547	0	0	0.160253203563341	1.12918156218829
Sim350	0.187029371990101	0.194675673800756	0	0.0559448335448326	0.342563685973792	0.0351581547280451	0	0.184628279962474	0	0.291695363062976	1.02342874667704
Sim351	0	0.189182740943965	0	0	0	0.355897936644466	0	0.454919322411569	0	0.264452423084935	1.03211747283352
Sim352	0.125614055676375	0	0.0881892776868527	0.277123034277857	0.123831815355456	0	0.324563473045845	0.0606783439576135	0	0.219370313011182	1.05264320210681
