Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim76	0	0.266752638148882	0.0320298064035277	0	0.015130870598949	0	0.103736385599097	0.582350299249545	0	0.353486226553369	0.996390941262246
Sim77	0	0.209703473723857	0	0.183259805870934	0.201936948314285	0.405099772090924	0	0	0	0.0754651004838698	1.24789694305947
Sim78	0.206971428343707	0.406171797277605	0	0	0.00310636796726171	0	0.0493384050238372	0.334412001387589	0	0.0693268222420279	1.1652786788394
Sim79	0.514122928325679	0.0910195739046515	0	0.0954722811905412	0.051049094279483	0	0.0891909083163344	0.159145213983311	0	0.171245495477465	1.12700495917626
Sim80	0	0.07351384810301	0.0854374186489055	0.0200624441124848	0.217780860176608	0.363111855609963	0	0.240093573349029	0	0.282017313381608	1.06714024454972
Sim81	0	0	0.0512593815936989	0.0884173026332393	0	0.0455868763516116	0.176522174436127	0.638214264985324	0	0.387234189182625	0.980203572491439
Sim82	0	0.113413604134761	0.14232918442198	0	0.0530764525061371	0	0.497906058229194	0.193274700707928	0	0.163739694110893	1.11879318373139
Sim83	0.255724511364947	0.082809126713722	0	0.180037129465501	0.0788231566549891	0.187950719646854	0	0.214655356153986	0	0.269860513428127	1.05737189611698
Sim84	0.018817499449113	0	0	0.196590458205495	0	0.0525105191932854	0.295081121489484	0.437000401662623	0	0.209702793486209	1.07824987847246
Sim85	0	0	0	0	0	0.195525534423046	0.369690073068221	0.434784392508733	0	0.325349527681889	1.00516621087792
Sim86	0.0816581708688861	0	0	0.246266411279786	0.0287084780968465	0.0838972081232489	0.233175388424723	0.326294343206509	0	0.162931531006707	1.11314116057654
Sim87	0	0.0203694431532798	0	0.15346325976015	0.108971130956398	0.070358098348052	0.119423779945337	0.527414287836784	0	0.357663528452227	1.00747365742323
Sim88	0.439829426570139	0.0565368026605983	0	0.220525999848221	0.105257558698074	0.0108617292308086	0.00568237353935528	0.161306109452804	0	0.197972303174056	1.11365665839872
Sim89	0	0	0.0792083323997854	0.0949018358613499	0	0.0682213806075949	0.472643063338224	0.285025387793046	0	0.062921790132898	1.16810860463252
Sim90	0.406840414794234	0	0.253098317638959	0.00247382143676573	0.227461965492382	0.11012548063766	0	0	0	0.160289236593107	1.16728445310604
Sim91	0	0	0.077930664500871	0	0.262034091454918	0.137185636792703	0.411438706777912	0.111410900473597	0	0.23471792074223	1.10144724706252
Sim92	0	0	0.0319439701231559	0.246988863421381	0	0.161837402782403	0.277599457819135	0.281630305853926	0	0.159336908990129	1.12032196179933
Sim93	0	0	0.0610760009502845	0.153213745823778	0.00339445551749462	0.167074491907143	0.6152413058013	0	0	0.175684493647368	1.18587482898922
Sim94	0.527637075487284	0.0360440244648762	0.0986714095882907	0	0.105779246596394	0.231868243863155	0	0	0	0.179484278656273	1.16710437789561
Sim95	0	0.26420125391803	0.0118761482448166	0.235431557193143	0	0.306372687987841	0	0.18211835265617	0	0.0760519297797409	1.19989444995454
Sim96	0.146159683522392	0	0	0.0580609074865831	0	0	0.220888663109022	0.574890745882003	0	0.23409226043577	1.07002556057496
Sim97	0	0	0.0408624220444089	0.0375492374974449	0.0174713127110688	0	0.262608229851973	0.641508797895105	0	0.0191343659019319	1.21834401749541
Sim98	0.363057398767833	0	0.10533179827818	0.0147362123834273	0.311507209807247	0.205367380763312	0	0	0	0.222428365094802	1.13118209122983
Sim99	0	0	0.139716784810285	0.067375056638764	0.129444407139232	0.0975362272792431	0.424245715072792	0.141681809059684	0	0.239868868306939	1.0825406372306
Sim100	0	0	0.0869895860541776	0	0.0512541661596306	0.24582613298341	0.528077979006719	0.087852135796063	0	0.244842718795881	1.11127095035707
Sim101	0.0508058236188779	0.215639820307572	0.054247946508206	0	0.112049770679175	0.07805105424693	0.268372912380941	0.220832672258297	0	0.129182026268859	1.13806632241851
Sim102	0.266664796451294	0	0.347246303954152	0	0.10776364025749	0	0.278325259337064	0	0	-0.000291636763054709	1.26874405200318
