Mixture	B.cell	Dendritic.cell	Eosinophils	Macrophage	Mast.cell	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim148	0.341765895288167	0	0.161022905580094	0	0.0377193727096181	0	0	0	0.133537630244325	0.325954196177796	0	0.255282563699156	1.10935775735683
Sim149	0	0.0764459555612569	0.236526020249407	0	0.18317398811109	0.24735749238776	0	0.169674246701778	0.0868222969887085	0	0	0.170188534440266	1.1365246576004
Sim150	0.148573866282835	0	0.318514075281894	0	0.0262076496559212	0.301112626484289	0.167948459082064	0	0.0376433232129971	0	0	0.155166374778854	1.17181976548631
Sim151	0.255962783075667	0	0.178836062141095	0	0.199395066470829	0.12736898172503	0	0.0788696201483195	0.0446435547050162	0.114923931734042	0	0.268857246983735	1.07938379136215
Sim152	0.0304958317956431	0.0820640089822037	0.140980727614894	0	0	0	0.238956470970058	0	0.199961041942428	0.307541918694774	0	0.344392389807482	1.06499582359545
Sim153	0	0.0416594701474679	0.156681831381928	0	0.142101866797904	0.169933023928958	0.0889928938342051	0.0598455779163188	0.106376035810583	0.234409300182636	0	0.0561728087145197	1.23676877544289
Sim154	0.0584797344024695	0.280123741922031	0.0657743977693611	0	0	0	0.271222148261843	0.0216585077371883	0	0.302741469907107	0	0.358273454609889	1.06922892306597
Sim155	0.039076724665485	0.154427065124204	0.0923024061011779	0.101734900441911	0	0	0.47841144903815	0.0964397654052339	0	0.0376076892238384	0	0.274874686423345	1.11737023221359
Sim156	0.100234806366093	0.0441623959030705	0.476278050144068	0.146215332179957	0	0	0.0757806162869755	0.0432338985238986	0.056762079544344	0.0573328210515935	0	0.119235538123083	1.20016935291693
Sim157	0.0987128383890744	0	0.205373279787218	0	0.0309741270205126	0.228614933193085	0	0.179323287504006	0.0680715625912051	0.188929971514899	0	0.319662143603692	1.04463174335532
Sim158	0	0	0.259431687275523	0.0632806807007843	0.0357488631782533	0.303077073204176	0.181000719811696	0.0975758467920109	0.0598851290375562	0	0	0.13698889466338	1.17227874994779
Sim159	0	0	0.35150301075376	0.156839912556816	0	0.0713498960688599	0.360535704399876	0.0597714762206877	0	0	0	0.290500840681776	1.09361273174118
Sim160	0	0	0	0.304802113025786	0.0593792214305478	0	0.538188646695649	0.0564864797257683	0	0.0411435391222487	0	0.45650361234259	0.986013893900015
Sim161	0	0.0723361367729865	0.103620143875102	0	0.119201467634534	0.286714228376681	0.283103795570387	0.00514477818083409	0.129879449589476	0	0	0.316959505444883	1.05967930500516
Sim162	0.175312780472472	0.371231820301859	0.173652652716755	0	0.00666093747719413	0.195274991298123	0.0759422606972173	0	0.00192455703638025	0	0	0.0885154664206406	1.22391496492239
Sim163	0.0884452725422313	0	0.240727886532219	0	0	0	0.117277664914402	0.15847537765138	0.0943947863574526	0.300679012002315	0	0.386293006858079	1.01310519198808
